DATA CARTA;REGIÃO;MASSA DE AR;DESCRIÇÃO;ESTAÇÃO;;;;;;;;;;;;;;;;;;;;;
2021-01-04 00:00:00;Norte;mEc;Regiao central e norte da Amazonia sob influencia de massa de ar quente e umida de origem equatorial continental, estabelecida sobre a bacia amazonica.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-04 00:00:00;Nordeste;mTa;Região sob influência direta do fluxo de leste da alta pressão subtropical do Atlântico Sul, caracterizando o predomínio de ar quente e úmido tipicamente tropical marítimo.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-04 00:00:00;Litoral;mTa;A área encontra-se sob influência do fluxo zonal marítimo quente e úmido, característico da Massa Tropical Atlântica, mantendo condições estáveis na faixa litorânea.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-04 00:00:00;Centro;mTc;A região central delimitada apresenta baixas pressões e temperaturas elevadas, características da termodinâmica da Depressão do Chaco sob domínio da massa Tropical Continental (mTc;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-04 00:00:00;Sul;mPa;A região encontra-se sob influência imediata da retaguarda de um sistema frontal, caracterizada pelo ingresso de ar frio e seco, típico da atuação da Massa Polar Atlântica.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-05 00:00:00;Norte;mEc;A região delimitada sobre a bacia amazônica apresenta características típicas de uma massa de ar quente e úmida, predominante na época do verão, sem influência extra-regional.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-05 00:00:00;Nordeste;mTa;A região encontra-se sob influência do escoamento marítimo de leste, característico da transferência de umidade e calor da massa Tropical Atlântica para o interior do Nordeste.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-05 00:00:00;Litoral;mTa;A região delimitada encontra-se sob influência do escoamento do quadrante leste/sudeste associado à circulação periférica de alta pressão, caracterizando o predomínio da mTa.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-05 00:00:00;Centro;mTa;Região sob influência direta do escoamento de leste/nordeste proveniente do Atlântico, apresentando características de temperatura e umidade típicas da Massa Tropical Atlântica.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-05 00:00:00;Sul;mPa;Região sob influência direta do avanço de massa polar, caracterizada por gradiente de pressão pós-frontal e redução térmica característica do avanço de ar frio e seco sobre o Sul.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-06 00:00:00;Norte;mEc;A região demarcada encontra-se sobre a bacia amazônica, caracterizada pela predominância da massa equatorial continental, quente e úmida, típica da região equatorial no verão.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-06 00:00:00;Nordeste;mTa;A região encontra-se sob influência do fluxo de leste/sudeste proveniente do Atlântico, caracterizando a predominância da Massa Tropical Atlântica com transporte de umidade.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-06 00:00:00;Litoral;mTa;A regiao apresenta caracteristicas de escoamento maritimo sob influencia do Anticiclone subtropical, mantendo o transporte de umidade e estabilidade tipicos da mTa no litoral.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-06 00:00:00;Centro;mTc;A região central encontra-se sob domínio de uma massa de ar quente e seca, caracterizada por altas temperaturas e baixa umidade, típica da atuação da mTc na Depressão do Chaco.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-06 00:00:00;Sul;mTa;A região delimitada está sob a influência do fluxo marítimo da ASAS, caracterizando o domínio da massa tropical atlântica, com umidade e temperaturas elevadas.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-07 00:00:00;Norte;mEc;A região delimitada abrange a bacia amazônica, onde predomina o ar quente e úmido característico da Massa Equatorial Continental, mantendo estabilidade térmica no setor continental;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-07 00:00:00;Nordeste;mTa;Predominio da massa Tropical Atlantica na regiao do Nordeste, caracterizada pelo transporte de umidade do oceano para o continente sob influencia do escoamento zonal no setor.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-07 00:00:00;Litoral;mTa;A região delimitada está sob o domínio do fluxo marítimo de sudeste/leste, característico da circulação da ASAS, que transporta ar quente e úmido sobre o litoral brasileiro.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-07 00:00:00;Centro;mTa;Regiao sob influencia do fluxo quente e umido proveniente do Atlantico Sul, caracterizado por estabilidade termica e umidade elevada sob dominio da circulacao anticiclonica.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-07 00:00:00;Sul;mPa;A região delimitada encontra-se na retaguarda de uma frente fria que se desloca pelo oceano, caracterizando o ingresso e domínio da massa de ar polar (mPa) sobre o setor.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-08 00:00:00;Norte;mEc;A região delimitada abrange a bacia amazônica e áreas continentais adjacentes, onde predomina a circulação quente e úmida característica da massa Equatorial Continental.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-08 00:00:00;Nordeste;mTa;A região demarcada encontra-se sob o fluxo do escoamento zonal e regime de ventos alísios influenciado pela periferia da ASAS, caracterizando a predominância da massa Tropical Atlâ;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-08 00:00:00;Litoral;mTa;A regiao delimitada esta sob influencia direta do fluxo zonal de leste associado a ASAS, caracterizando o dominio da Massa Tropical Atlantica (mTa) no litoral leste brasileiro.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-08 00:00:00;Centro;mTa;Regiao sob incidencia de escoamento vindo do Atlantico Sul, sob dominio da circulacao anticiclonica, caracterizando a estabilidade e umidade tipicas da massa Tropical Atlantica.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-08 00:00:00;Sul;mPa;Região sob influência direta de massa de ar frio e seco, avançando após a passagem de sistema frontal, evidenciada pela advecção de traçado isobárico característico pós-frontal.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-09 00:00:00;Norte;mEc;A região apresenta as características térmicas e de umidade típicas da massa Equatorial Continental, predominante sobre a bacia amazônica e sem influência de sistemas frontais pola;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-09 00:00:00;Nordeste;mTa;Regiao sob influencia do escoamento do anticiclone subtropical, caracterizando a predominancia de caracteristicas de massa tropical atlantica, quente e umida sobre o setor.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-09 00:00:00;Litoral;mTa;Regiao sob influencia direta do escoamento maritimo associado ao fluxo da ASAS, caracterizando a presenca de massa de ar tropical quente e umida predominante no litoral leste.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-09 00:00:00;Centro;mEc;Regiao central do Brasil sob influencia de massa quente e umida caracteristica da Amazonia, apresentando valores termicos elevados e instabilidade termodinamica predominante.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-09 00:00:00;Sul;mPa;A região encontra-se submetida ao fluxo de sul/sudeste induzido pela passagem e posterior deslocamento de um sistema frontal, caracterizando a atuação da mPa (Massa Polar Atlântica;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-10 00:00:00;Norte;mEc;A regiao delimitada esta sob influencia direta da massa equatorial continental, caracterizada por ser quente e umida, predominante sobre a bacia Amazonica sem interferencia de sist;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-10 00:00:00;Nordeste;mTa;Regiao sob incidencia de fluxo de transporte de umidade proveniente do oceano, caracteristico da circulacao periferica da alta subtropical, predominando a massa Tropical Atlantica.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-10 00:00:00;Litoral;mTa;A região delimitada está sob influência do fluxo marítimo quente e úmido característico da mTa, mantido pelo escoamento persistente do setor oceânico.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-10 00:00:00;Centro;mTc;Região sob influência da Depressão do Chaco, caracterizada por temperaturas elevadas e baixos níveis relativos de umidade, evidenciado pelo posicionamento continental e térmico.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-10 00:00:00;Sul;mPa;A região apresenta o avanço de uma massa polar após a passagem de uma frente fria, caracterizada pelos gradientes de pressão e temperaturas mais amenas no setor austral.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-11 00:00:00;Norte;mEc;Região sob influência equatorial continental, caracterizada por temperaturas elevadas e alta umidade sobre a bacia amazônica, sem influência de sistemas extratropicais ou massa pol;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-11 00:00:00;Nordeste;mTa;Região sob influência direta do fluxo de ar quente e úmido vindo do Oceano Atlântico, característico da circulação da massa tropical atlântica na área delimitada.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-11 00:00:00;Litoral;mTa;Região sob influência direta do escoamento marítimo de leste/sudeste, apresentando características de temperatura e umidade típicas da massa tropical atlântica.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-11 00:00:00;Centro;mTa;A regiao encontra-se sob influencia da circulacao periferica da alta pressao subtropical, caracterizando o dominio da Massa Tropical Atlantica, com caracteristicas quentes e umidas;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-11 00:00:00;Sul;mTa;A região delimitada encontra-se sob influência da circulação anticiclônica marítima, com escoamento de umidade do oceano para o continente, caracterizando o predomínio da mTa.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-12 00:00:00;Norte;mEc;Região central e amazônica sob influência de ar quente e úmido, característico da Massa Equatorial Continental, sem a presença de sistemas frontais atuando no setor.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-12 00:00:00;Nordeste;mTa;A região sob o retângulo vermelho encontra-se sob influência direta da circulação marítima da Alta Subtropical, caracterizada pelo transporte de ar quente e úmido vindo do Atlântic;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-12 00:00:00;Litoral;mTa;A região delimitada situa-se sob influência da circulação da Alta Subtropical do Atlântico Sul, caracterizando o predomínio da Massa Tropical Atlântica (mTa), quente e úmida.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-12 00:00:00;Centro;mTc;Região central do continente sob influência de núcleo de baixa pressão térmica, com termômetros elevados e ar seco, característicos da mTc sobre a Depressão do Chaco.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-12 00:00:00;Sul;mPa;A regiao apresenta caracteristicas de pos-frontal, com adveccao de ar frio e umido impulsionada pelo avanco de sistema frontal posicionado a sul, caracterizando a atuacao da mPa.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-13 00:00:00;Norte;mEc;A região delimitada abrange a bacia amazônica e áreas centrais adjacentes, onde predomina uma massa de ar quente e úmida de origem continental, sem influência de sistemas extratrop;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-13 00:00:00;Nordeste;mTa;A região do Nordeste encontra-se sob influência da circulação da alta pressão subtropical do Atlântico Sul, caracterizando a predominância da massa Tropical Atlântica.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-13 00:00:00;Litoral;mTa;Região sob influência direta do escoamento marítimo provindo do Atlântico Tropical, caracterizando-se por ar quente e úmido típico da massa tropical marítima.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-13 00:00:00;Centro;mTc;A região central encontra-se sob influência de subsidência e aquecimento adiabático, característico da Massa Tropical Continental, típica da depressão do Chaco e centro do país.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-13 00:00:00;Sul;mPa;A região delimitada encontra-se sob influência imediata da retaguarda de um sistema frontal, caracterizando o avanço e domínio da Massa Polar Atlântica sobre o setor.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-14 00:00:00;Norte;mEc;A região delimitada abrange a bacia amazônica e áreas centrais, caracterizada por baixos gradientes de pressão e umidade elevada, típicas da instabilidade da massa equatorial conti;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-14 00:00:00;Nordeste;mTa;Predominio da massa Tropical Atlantica, evidenciado pelo posicionamento do sistema de alta pressao que transporta umidade do oceano para a regiao Nordeste brasileira.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-14 00:00:00;Litoral;mEa;A região delimitada no litoral do Nordeste encontra-se sob influência da Massa Equatorial Atlântica, caracterizada por altas temperaturas e umidade, típica da porção norte-nordeste;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-14 00:00:00;Centro;mTc;A regiao delimitada encontra-se sobre o continente, caracterizada por altas temperaturas e baixa umidade relativa, sobre a Depressao do Chaco, condizente com a mTc.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-14 00:00:00;Sul;mPa;A região apresenta características típicas de pós-frontal, com gradiente de pressão e umidade favoráveis à influência da massa de ar polar que avança sobre o Sul brasileiro.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-15 00:00:00;Norte;mEc;Região situada na bacia Amazônica sob influência de ar quente e úmido, característico do domínio da Massa Equatorial Continental, sem atuação de frentes frias no setor.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-15 00:00:00;Nordeste;mTa;Região sob influência direta do fluxo de leste da circulação periférica do sistema de alta pressão subtropical, caracterizando o predomínio da Massa Tropical Atlântica (mTa).;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-15 00:00:00;Litoral;mTa;Região sob influência direta do escoamento marítimo do Atlântico Sul, caracterizado por ar quente e úmido transportado pelos ventos de leste/nordeste.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-15 00:00:00;Centro;mTa;Predominância da Massa Tropical Atlântica, caracterizada pelo fluxo de ar quente e úmido transportado do Atlântico sul para o interior do continente na região central observada.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-15 00:00:00;Sul;mPa;A região apresenta características de subsidência e queda nas temperaturas logo após a passagem de sistema frontal, evidenciando o domínio da Massa Polar Atlântica.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-16 00:00:00;Norte;mEc;A regiao delimitada esta sob influencia direta da Massa Equatorial Continental, caracterizada por alto conteudo de umidade e temperaturas elevadas tipicas da Amazonia.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-16 00:00:00;Nordeste;mTa;Predominância da Massa Tropical Atlântica, caracterizada pelo fluxo de leste/sudeste associado à circulação marítima que atua sobre o litoral e interior do Nordeste brasileiro.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-16 00:00:00;Litoral;mTa;A regiao delimitada encontra-se sob a influencia direta da circulacao oceanica de leste/sudeste, condizente com a predominancia de caracteristicas da massa Tropical Atlantica.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-16 00:00:00;Centro;mTa;A região apresenta características de baixos gradientes de pressão e umidade elevada, mantendo o domínio da Massa Tropical Atlântica sobre as áreas central e sudeste do Brasil.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-16 00:00:00;Sul;mTa;A região delimitada está sob o domínio do fluxo marítimo do Atlântico Sul, caracterizado por altas pressões que transportam ar quente e úmido para o continente, configurando a mTa.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-17 00:00:00;Norte;mEc;A regiao apresenta predominancia de massa quente e umida sobre a bacia Amazonica, caracteristica da mEc, sem presenca de sistemas frontais ou influencias de alta pressao oceanica.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-17 00:00:00;Nordeste;mTa;Predominio da mTa no setor, caracterizada pela circulacao sob influencia da Alta Subtropical do Atlantico Sul, mantendo condicoes de estabilidade e umidade na regiao costeira e int;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-17 00:00:00;Litoral;mTa;Regiao sob influencia do fluxo marítimo do Atlantico Sul, caracterizado por ar quente e umido associado ao dominio da circulacao anticiclonica subtropical sobre o litoral oriental.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-17 00:00:00;Centro;mTc;A região demarcada encontra-se no interior do continente sob o domínio da depressão térmica do Chaco, caracterizando a atuação da Massa Tropical Continental, quente e seca.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-17 00:00:00;Sul;mPa;A regiao delimitada encontra-se sob a influencia direta do fluxo pos-frontal, caracterizado por temperaturas mais amenas e circulacao ciclonica associada ao sistema polar.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-18 00:00:00;Norte;mEc;Regiao central da Amazonia sem influencia de sistemas frontais, caracterizada pela predominancia de ar quente e umido de origem continental sobre a bacia amazonica.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-18 00:00:00;Nordeste;mTa;Dominio da circulacao maritima associada ao escoamento de leste/sudeste, transportando ar quente e umido do Oceano Atlantico para o setor leste da regiao Nordeste.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-18 00:00:00;Litoral;mTa;Região sob influência direta da circulação marítima da alta pressão subtropical, caracterizando o transporte de ar quente e úmido sobre o litoral do Nordeste brasileiro.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-18 00:00:00;Centro;mPa;A região delimitada encontra-se sob influência do avanço de uma massa de ar frio e úmido, caracterizada pelo gradiente de pressão atrás da frente fria que ingressa no sudeste.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-18 00:00:00;Sul;mPa;A regiao delimitada encontra-se sob a influência direta do avanço de uma massa de ar pós-frontal, caracterizada por fluxo de sul, transporte de ar polar e queda de temperatura.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-19 00:00:00;Norte;mEc;Regiao posicionada sobre a bacia Amazonica, caracterizada pelo dominio de ar quente e umido contido no interior do continente, sem influencia de sistemas frontais ou massas oceanic;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-19 00:00:00;Nordeste;mTa;Região sob influência direta do fluxo de ar quente e úmido proveniente do Atlântico, característico da circulação de alta pressão sobre o oceano que domina o setor leste/nordeste.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-19 00:00:00;Litoral;mTa;A área delimitada encontra-se sob influência do fluxo de circulação marítima da alta pressão, caracterizando a atuação da mTa, que transporta umidade do oceano para o leste do Bras;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-19 00:00:00;Centro;mPa;A região encontra-se submetida ao avanço de uma frente fria, com penetração de características de uma massa de ar mais fria e instável na retaguarda do sistema frontal.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-19 00:00:00;Sul;mPa;A região delimitada no setor Sul encontra-se sob influência de subsidência e advecção de ar frio e seco, característicos do pós-frontal da frente fria atuando ao norte da área.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-20 00:00:00;Norte;mEc;A regiao delimitada esta situada sobre a bacia amazonica, sob influencia de uma massa de ar quente e umida caracteristica de origem continental (mEc).;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-20 00:00:00;Nordeste;mTa;Predominio da massa tropical atlantica na regiao nordeste, caracterizada por fluxos de leste e temperaturas elevadas integradas ao regime da circulacao de alta pressao oceanica.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-20 00:00:00;Litoral;mTa;A regiao delimitada esta sob influencia da circulacao periferica da alta pressao do Atlantico Sul, caracterizando a predominancia da massa Tropical Atlantica quente e umida.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-20 00:00:00;Centro;mTa;A região delimitada encontra-se sob influência de um gradiente de pressão característico da circulação oceânica, predominando as características da massa Tropical Atlântica.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-20 00:00:00;Sul;mTa;A região encontra-se sob influência do fluxo equatorial e oceânico, característico da Massa Tropical Atlântica, devido à ausência de incursão polar na área delimitada.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-21 00:00:00;Norte;mEc;A região delimitada abrange a bacia amazônica e áreas adjacentes, onde o posicionamento geográfico e os dados sinóticos confirmam o predomínio da Massa Equatorial Continental.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-21 00:00:00;Nordeste;mTa;A região encontra-se sob influência de um campo de alta pressão, caracterizando a atuação da massa Tropical Atlântica, que traz ar quente e umidade para o setor costeiro e interior;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-21 00:00:00;Litoral;mTa;A área delimitada situa-se sob influência direta do escoamento marítimo associado à alta pressão do Atlântico Sul, caracterizando o domínio da massa Tropical Atlântica (mTa).;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-21 00:00:00;Centro;mTa;A região encontra-se sob influência da circulação da ASAS, apresentando características de ar quente e úmido, típicas da massa tropical atlântica que domina o setor central do país;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-21 00:00:00;Sul;mPa;A região apresenta a presença de gradientes pós-frontais claros, com avanço de ar mais frio e denso sobre o Sul, configurando a predominância da Massa Polar Atlântica.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-22 00:00:00;Norte;mEc;A região delimitada abrange a bacia amazônica e áreas centrais do continente, onde a massa de ar quente e úmida de origem continental predomina sem influência de sistemas frontais.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-22 00:00:00;Nordeste;mTa;Predominancia de fluxos de leste influenciados pela circulacao maritima do Atlantico Sul, caracterizando a atuacao da massa de ar quente e umida sobre o setor.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-22 00:00:00;Litoral;mTa;A região delimitada está sob a influência do fluxo marítimo da alta pressão do Atlântico Sul, caracterizando o predomínio da Massa Tropical Atlântica (mTa), quente e úmida.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-22 00:00:00;Centro;mPa;A região encontra-se logo atrás de uma frente fria que avança pelo Sudeste, evidenciada pelo gradiente de pressão e mudança no fluxo, caracterizando a incursão da massa polar atlân;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-22 00:00:00;Sul;mPa;A região delimitada encontra-se sob influência de massa de ar pós-frontal, com gradiente de pressão e ventos do quadrante sul indicando a penetração da mPa sobre o Sul do Brasil.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-23 00:00:00;Norte;mEc;A região delimitada abrange a bacia amazônica e adjacências, sob influência direta da massa de ar quente e úmida de origem continental, predominante no setor norte do país.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-23 00:00:00;Nordeste;mTa;A regiao encontra-se sob influencia da circulacao periferica da alta pressao do Atlantico, caracterizando o dominio da Massa Tropical Atlantica, quente e umida.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-23 00:00:00;Litoral;mEa;A região delimitada no litoral nordeste encontra-se sob influência da Massa Equatorial Atlântica, caracterizada pelo ar quente e úmido predominante nas baixas latitudes oceânicas.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-23 00:00:00;Centro;mTc;A região central encontra-se sob influência de subsidência e aquecimento advectivo característico da massa tropical continental, mantendo estabilidade térmica no interior do contin;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-23 00:00:00;Sul;mTa;A região delimitada encontra-se sob influência da circulação anticiclônica oceânica, caracterizando o predomínio de ar quente e úmido transportado do Atlântico.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-24 00:00:00;Norte;mEc;Regiao central do continente sob dominio da massa equatorial continental, caracterizada por temperaturas elevadas e alta umidade sobre a bacia amazonica, sem influencia de sistemas;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-24 00:00:00;Nordeste;mTa;Predominância da Massa Tropical Atlântica, caracterizada pelo transporte de umidade e calor vindo do oceano, influenciando o padrão de tempo estável na porção oriental da região.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-24 00:00:00;Litoral;mTa;Regiao sob influencia do escoamento de leste-nordeste oriundo do anticiclone subtropical, configurando o dominio da Massa Tropical Atlantica (mTa) no litoral leste brasileiro.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-24 00:00:00;Centro;mTc;A região central do Brasil está sob influência de massa de ar quente e seca, caracterizada por baixos gradientes de pressão, típica da mTc posiciada sobre o interior do continente.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-24 00:00:00;Sul;mTa;A regiao delimitada esta sob influencia direta do escoamento oceanico de leste/nordeste associado ao anticiclone, caracterizando a predominancia de ar quente e umido da mTa.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-25 00:00:00;Norte;mEc;A região delimitada encontra-se sobre a bacia amazônica, caracterizada pela predominância da Massa Equatorial Continental, que apresenta elevadas temperaturas e umidade abundante.;Verão;;;;;;;;;;;;;;;;;;;;;
2021-01-25 00:00:00;Nordeste;mTa;A região encontra-se sob influência do fluxo de leste/sudeste proveniente do Atlântico Sul, caracterizando o predomínio da massa tropical marítima sobre o setor nordestino.;Verão;;;;;;;;;;;;;;;;;;;;;
